time_step,generation,max_lifetime,food,group_preference,movement_chance,wander_chance,sensing_radius,maturation,food_per_unit_eaten,food_per_baby,spawning_threshold,spawn_delay,population
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
0,1,150,25,50,50,25,10,50,2,10,50,50,10
1,1,150,20,50,50,25,10,50,2,10,50,50,9
1,1,150,41,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,46,50,50,25,10,50,2,10,50,50,9
1,1,150,21,50,50,25,10,50,2,10,50,50,9
1,1,150,19,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,14,50,50,25,10,50,2,10,50,50,9
1,1,150,25,50,50,25,10,50,2,10,50,50,9
1,1,150,20,50,50,25,10,50,2,10,50,50,9
1,1,150,41,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,46,50,50,25,10,50,2,10,50,50,9
1,1,150,21,50,50,25,10,50,2,10,50,50,9
1,1,150,19,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,14,50,50,25,10,50,2,10,50,50,9
1,1,150,25,50,50,25,10,50,2,10,50,50,9
1,1,150,20,50,50,25,10,50,2,10,50,50,9
1,1,150,41,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,46,50,50,25,10,50,2,10,50,50,9
1,1,150,21,50,50,25,10,50,2,10,50,50,9
1,1,150,19,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,14,50,50,25,10,50,2,10,50,50,9
1,1,150,25,50,50,25,10,50,2,10,50,50,9
1,1,150,20,50,50,25,10,50,2,10,50,50,9
1,1,150,41,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,46,50,50,25,10,50,2,10,50,50,9
1,1,150,21,50,50,25,10,50,2,10,50,50,9
1,1,150,19,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,14,50,50,25,10,50,2,10,50,50,9
1,1,150,25,50,50,25,10,50,2,10,50,50,9
1,1,150,20,50,50,25,10,50,2,10,50,50,9
1,1,150,41,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,46,50,50,25,10,50,2,10,50,50,9
1,1,150,21,50,50,25,10,50,2,10,50,50,9
1,1,150,19,50,50,25,10,50,2,10,50,50,9
1,1,150,18,50,50,25,10,50,2,10,50,50,9
1,1,150,14,50,50,25,10,50,2,10,50,50,9
1,1,150,25,50,50,25,10,50,2,10,50,50,9
1,1,150,20,50,50,25,10,50,2,10,50,50,9
